"Year","Temp"
1901,23.75
1902,24.6666666666667
1903,24.7166666666667
1904,24.5166666666667
1905,24.8833333333333
1906,24.6333333333333
1907,25.2416666666667
1908,24.9
1909,24.7666666666667
1910,24.025
1911,25.2833333333333
1912,25.2083333333333
1913,25.1916666666667
1914,24.7
1915,24.5666666666667
1916,24.8333333333333
1917,24.6416666666667
1918,25.2416666666667
1919,25.175
1920,24.7833333333333
1921,25.4
1922,25.5583333333333
1923,25.2166666666667
1924,25.1916666666667
1925,25.4666666666667
1926,25.05
1927,25.6416666666667
1928,24.8333333333333
1929,25.3416666666667
1930,24.8916666666667
1931,24.5583333333333
1932,25.6
1933,25.55
1934,25.2916666666667
1935,25.1166666666667
1936,25.2083333333333
1937,25.2583333333333
1938,25.425
1939,25.4916666666667
1940,24.5666666666667
1941,25.1916666666667
1942,25.1666666666667
1943,25.2166666666667
1944,25.425
1945,25.4833333333333
1946,26.0083333333333
1947,25.65
1948,26.2833333333333
1949,25.8166666666667
1950,25.6
1951,25.6333333333333
1952,25.4833333333333
1953,25.6166666666667
1954,25.1833333333333
1955,25.4
1956,25.6416666666667
1957,26.0333333333333
1958,24.7083333333333
1959,25.4833333333333
1960,24.9916666666667
1961,25.5
1962,25.2166666666667
1963,25.125
1964,25.5916666666667
1965,26.2583333333333
1966,24.625
1967,26.2166666666667
1968,24.9333333333333
1969,24.9666666666667
1970,24.8083333333333
1971,25.625
1972,26.0416666666667
1973,25.425
1974,25.9
1975,26.275
1976,25.275
1977,24.9166666666667
1978,25.3083333333333
1979,25.75
1980,25.5333333333333
1981,25.0333333333333
1982,26.0916666666667
1983,24.7833333333333
1984,25.15
1985,25.5416666666667
1986,25.675
1987,25.2583333333333
1988,25.2
1989,25.9
1990,26.2916666666667
1991,26.35
1992,25.5416666666667
1993,25.675
1994,26.1333333333333
1995,25.6583333333333
1996,25
1997,25.8166666666667
1998,25.7833333333333
1999,25.5333333333333
2000,25.3666666666667
